DNA	RNA	PCR	PCR_Free	no	yes
SQK-LSK109-XL	SQK-PCB109	SQK-16S024	SQK-LSK109	SQK-PCB109	SQK-LSK109	
SQK-LSK110	SQK-RNA002	SQK-PCB109	SQK-LSK109-XL	SQK-LSK109-XL	SQK-LSK109-XL
SQK-LSK109	SQK-PCS109	SQK-CS9109	SQK-CS9109	SQK-CS9109	SQK-16S024
SQK-16S024	SQK-DCS109	SQK-PCS109	SQK-LSK110	SQK-LSK110	SQK-LSK110
SQK-LRK001		SQK-PBK004	SQK-RNA002	SQK-RNA002	SQK-CS9109
SQK-RBK004		SQK-RPB004	SQK-LRK001	SQK-LRK001	SQK-PCB109
SQK-PBK004		SQK-PSK004	SQK-DCS109	SQK-PCS109	SQK-PCS109
SQK-RAB204		SQK-RAB204	SQK-RBK004	SQK-DCS109	SQK-DCS109
SQK-RPB004			SQK-RAD004	SQK-PSK004	SQK-PBK004
SQK-PSK004				SQK-RAD004	SQK-RBK004
SQK-RAD004					SQK-RAB204
					SQK-RPB004
